DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170294,Clover Point Park,"1250 Dallas Rd, Victoria, BC V8V 1C4",0.21,1514264
59170294,Holland Point Park,"561 Dallas Rd, Victoria, BC V8V 1B2",0.26,1514264
59170294,Bushby Park,"160 Bushby St, Victoria, BC V8S 3H8",0.21,1514264
59170294,Moss Rock Park,"Moss Rock Park, May Street & Memorial Crescent, Victoria, BC V8S 3J6",0.19,1514264
59170295,Beacon Hill Park,"100 Cook St, Victoria, BC V8V 4Z8",0.31,1616849
59170295,Chapman Park,"1208 Chapman St, Victoria, BC V8V 2T8",0.41,1616849
59170296,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.45,1172227
59170297,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.34,826680
59170297,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.39,826680
59170297,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.47,826680
59170298,Charles Redfern Park,"200 Quebec St, Victoria, BC V8V 1W2",0.27,980853
59170298,Centennial Park,"210 Belleville St., Victoria, BC V8V 4T9",0.26,980853
59170298,Belleville Street Greens,"220 Belleville St., Victoria, BC V8V 4T9",0.26,980853
59170298,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.33,980853
59170298,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.33,980853
59170298,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.33,980853
59170298,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.36,980853
59170299,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.19,2272240
59170299,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.21,2272240
59170299,Centennial Park,"210 Belleville St., Victoria, BC V8V 4T9",0.37,2272240
59170299,Belleville Street Greens,"220 Belleville St., Victoria, BC V8V 4T9",0.37,2272240
59170299,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.34,2272240
59170299,Charles Redfern Park,"200 Quebec St, Victoria, BC V8V 1W2",0.43,2272240
59170300,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.36,1261434
59170300,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.38,1261434
59170301,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.21,1612156
59170301,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.49,1612156
59170302,Thunderbird Park,"638 Douglas St, Victoria, BC V8V 2P8",0.19,1842992
59170302,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.21,1842992
59170302,Centennial Park,"210 Belleville St., Victoria, BC V8V 4T9",0.37,1842992
59170302,Belleville Street Greens,"220 Belleville St., Victoria, BC V8V 4T9",0.37,1842992
59170302,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.4,1842992
59170302,Charles Redfern Park,"200 Quebec St, Victoria, BC V8V 1W2",0.43,1842992
59170302,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.27,1842992
59170303,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.09,1486477
59170303,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.48,1486477
59170304,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.23,11899778
59170304,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.26,11899778
59170304,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.49,11899778
59170305,Lewis Street Park,"32 Lewis St, Victoria, BC V8V 2E8",0.31,1650632
59170305,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.33,1650632
59170305,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.35,1650632
59170305,Todd park,"Block,, 100 Niagara St, Victoria, BC V8V 1E9",0.44,1650632
59170305,MacDonald Park,"212 Niagara St, Victoria, BC V8V 1G3",0.5,1650632
59170308,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.2,1959497
59170308,Irving Park,"250 Menzies St, Victoria, BC V8V 2G7",0.23,1959497
59170308,Charles Redfern Park,"200 Quebec St, Victoria, BC V8V 1W2",0.25,1959497
59170308,Centennial Park,"210 Belleville St., Victoria, BC V8V 4T9",0.34,1959497
59170308,Belleville Street Greens,"220 Belleville St., Victoria, BC V8V 4T9",0.34,1959497
59170308,Cridge Park,"720 Belleville St., Victoria, BC V8W 1A3",0.48,1959497
59170309,Michigan Street Playground,"677 Michigan St, Victoria, BC V8V 1S9",0.12,1559418
59170309,Todd park,"Block,, 100 Niagara St, Victoria, BC V8V 1E9",0.34,1559418
