DAUID,Target_name,Target_address,Distance (km),Residential_TotalGross_Average
59170311,Dino Lab Inc.,"3 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.45,1190110
59170312,Dino Lab Inc.,"3 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.24,1035481
59170312,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.37,1035481
59170313,Dino Lab Inc.,"3 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",0.24,1653677
59170313,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.27,1653677
59170371,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.21,1029176
59170372,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.99,984319
59170373,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.95,965773
59170375,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.77,994132
59170376,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.22,1032131
59170378,Dino Lab Inc.,"3 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",1.15,1765680
59170383,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.6,1008114
59170383,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.09,1008114
59170383,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.41,1008114
59170384,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.54,667343
59170385,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.39,1429892
59170386,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.12,1708097
59170386,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.43,1708097
59170387,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.2,669043
59170387,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.5,669043
59170388,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.45,904377
59170389,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.71,1037755
59170390,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",0.71,1346304
59170390,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.89,1346304
59170554,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.97,1526738
59170555,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.91,1592567
59170555,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.9,1592567
59170556,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.16,1638956
59170556,Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",0.38,1638956
59170557,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.26,1757910
59170558,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.45,1734242
59170598,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.8,970445
59170600,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.77,824751
59170601,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",1.0,973857
59170601,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.87,973857
59170610,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.3,1773627
59170611,St. Ann's Academy and Auditorium National Historic Site,"	835 Humboldt St, Victoria, BC V8V 4W8",0.23,878987
59170611,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.35,878987
59170611,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.38,878987
59170611,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.38,878987
59170611,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.38,878987
59170611,Greater Victoria Public Library - Central Branch,"735 Broughton St, Victoria, BC V8W 3H2",0.39,878987
59170611,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.42,878987
59170611,Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8",0.5,878987
59170611,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.36,878987
59170612,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.72,1408020
59170722,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",1.06,1046000
59170723,Little free library,"335 Waterfront Crescent, Victoria, BC V8T 0A6",0.57,950552
59170806,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.15,804136
59170806,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.22,804136
59170806,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.38,804136
59170806,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.45,804136
59170806,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.46,804136
59170806,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.49,804136
59170808,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.18,971891
59170808,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.28,971891
59170808,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.37,971891
59170808,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.43,971891
59170808,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.48,971891
59170808,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.48,971891
59170814,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.17,891064
59170814,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.18,891064
59170814,St. Ann's Academy and Auditorium National Historic Site,"	835 Humboldt St, Victoria, BC V8V 4W8",0.31,891064
59170814,Royal BC Museum,"	675 Belleville St., Victoria, BC V8W 9W2",0.34,891064
