DAUID,Target_name,Target_address,Distance (km)
59170557,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.26
59170558,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.45
59170598,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.8
59170600,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",0.77
59170601,Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",1.0
59170601,Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",0.87
59170610,James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",0.3
59170611,St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8",0.23
59170611,Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",0.35
59170611,Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",0.38
59170611,YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",0.38
59170611,The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",0.38
59170611,Greater Victoria Public Library - Central Branch,"735 Broughton St, Victoria, BC V8W 3H2",0.39
59170611,Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",0.42
59170611,Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8",0.5
59170611,Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",0.36
59170612,Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",0.72
59170722,Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",1.34
59170723,Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",1.01
59170805,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.33
59170805,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.51
59170805,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.48
59170806,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.15
59170806,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.22
59170806,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.38
59170806,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.45
59170806,Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",0.46
59170806,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.49
59170807,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.22
59170807,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.23
59170807,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.35
59170807,Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.41
59170807,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.41
59170807,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.49
59170808,Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",0.18
59170808,Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",0.28
59170808,Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",0.37
59170808,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.43
59170808,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.48
59170808,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.48
59170809,Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",0.19
59170809,Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",0.22
59170809,Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",0.27
59170809,Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",0.31
59170809,BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",0.31
